Normal	DSS	MHs	CMHs
ASV_1	ASV_1	ASV_1	ASV_1
ASV_2	ASV_3	ASV_2	ASV_2
ASV_3	ASV_4	ASV_3	ASV_3
ASV_4	ASV_5	ASV_4	ASV_4
ASV_5	ASV_6	ASV_5	ASV_5
ASV_6	ASV_7	ASV_6	ASV_6
ASV_7	ASV_8	ASV_7	ASV_7
ASV_9	ASV_9	ASV_8	ASV_8
ASV_10	ASV_11	ASV_9	ASV_9
ASV_11	ASV_12	ASV_10	ASV_10
ASV_13	ASV_13	ASV_11	ASV_11
ASV_14	ASV_15	ASV_12	ASV_12
ASV_16	ASV_16	ASV_13	ASV_13
ASV_17	ASV_18	ASV_14	ASV_14
ASV_18	ASV_19	ASV_15	ASV_15
ASV_19	ASV_20	ASV_16	ASV_16
ASV_21	ASV_21	ASV_17	ASV_17
ASV_22	ASV_23	ASV_18	ASV_18
ASV_24	ASV_24	ASV_19	ASV_19
ASV_25	ASV_25	ASV_20	ASV_20
ASV_26	ASV_27	ASV_21	ASV_21
ASV_27	ASV_30	ASV_22	ASV_22
ASV_28	ASV_33	ASV_24	ASV_23
ASV_29	ASV_35	ASV_25	ASV_24
ASV_30	ASV_36	ASV_26	ASV_25
ASV_31	ASV_38	ASV_27	ASV_26
ASV_32	ASV_39	ASV_28	ASV_27
ASV_33	ASV_40	ASV_29	ASV_28
ASV_34	ASV_41	ASV_30	ASV_29
ASV_36	ASV_42	ASV_31	ASV_30
ASV_37	ASV_43	ASV_32	ASV_31
ASV_40	ASV_44	ASV_36	ASV_32
ASV_41	ASV_46	ASV_37	ASV_33
ASV_43	ASV_49	ASV_39	ASV_34
ASV_45	ASV_50	ASV_40	ASV_36
ASV_46	ASV_51	ASV_41	ASV_37
ASV_47	ASV_55	ASV_42	ASV_40
ASV_48	ASV_56	ASV_45	ASV_41
ASV_49	ASV_57	ASV_47	ASV_45
ASV_50	ASV_58	ASV_48	ASV_46
ASV_51	ASV_62	ASV_49	ASV_47
ASV_52	ASV_64	ASV_50	ASV_48
ASV_53	ASV_65	ASV_51	ASV_49
ASV_54	ASV_66	ASV_52	ASV_50
ASV_56	ASV_67	ASV_53	ASV_51
ASV_58	ASV_68	ASV_54	ASV_52
ASV_59	ASV_69	ASV_56	ASV_53
ASV_60	ASV_70	ASV_57	ASV_54
ASV_61	ASV_72	ASV_58	ASV_55
ASV_63	ASV_73	ASV_64	ASV_56
ASV_67	ASV_74	ASV_65	ASV_57
ASV_68	ASV_75	ASV_66	ASV_58
ASV_71	ASV_77	ASV_68	ASV_61
ASV_72	ASV_79	ASV_71	ASV_62
ASV_73	ASV_86	ASV_72	ASV_63
ASV_74	ASV_88	ASV_73	ASV_64
ASV_75	ASV_89	ASV_74	ASV_66
ASV_76	ASV_90	ASV_75	ASV_67
ASV_77	ASV_91	ASV_76	ASV_68
ASV_80	ASV_92	ASV_77	ASV_71
ASV_81	ASV_93	ASV_78	ASV_72
ASV_82	ASV_94	ASV_79	ASV_73
